"","breed","outcome_subtype","outcome_type","sex","Spay.Neuter","age.at.outcome","age_group","dob_year","dob_month","dob_monthyear","outcome_month","outcome_year","outcome_weekday","outcome_hour","cfa_breed","domestic_breed","coat_pattern","color1","color2","coat","is.kitten","adopted"
"10669","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,8,"2016-11","11",2016,"Sunday",15,FALSE,TRUE,"tabby","brown","white","brown ",TRUE,TRUE
"10670","domestic shorthair","","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2017,7,"2017-10","10",2017,"Saturday",14,FALSE,TRUE,"tortie","other","","tortie",TRUE,TRUE
"10671","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,4,"2016-07","7",2016,"Saturday",17,FALSE,TRUE,"solid","white","black","white",TRUE,TRUE
"10672","domestic shorthair","","Adoption","Male",FALSE,0.164383562,"(-0.022, 2.2]",2016,7,"2016-09","9",2016,"Sunday",17,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10673","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2015,4,"2015-07","7",2015,"Saturday",15,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10674","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,4,"2016-06","6",2016,"Wednesday",16,FALSE,TRUE,"solid","blue","white","blue",TRUE,TRUE
"10675","domestic shorthair","","Adoption","Female",TRUE,1,"(-0.022, 2.2]",2015,1,"2016-01","1",2016,"Monday",18,FALSE,TRUE,"tortie","other","","tortie",FALSE,TRUE
"10676","domestic shorthair","","Adoption","Female",TRUE,0.821917808,"(-0.022, 2.2]",2016,12,"2017-11","11",2017,"Saturday",19,FALSE,TRUE,"tortie","other","","tortie",FALSE,TRUE
"10677","domestic shorthair","Foster","Adoption","Female",FALSE,0.246575342,"(-0.022, 2.2]",2016,6,"2016-09","9",2016,"Wednesday",10,FALSE,TRUE,"tortie","other","","tortie",TRUE,TRUE
"10678","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2017,7,"2017-09","9",2017,"Sunday",18,FALSE,TRUE,"solid","blue","","blue",TRUE,TRUE
"10679","domestic shorthair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,7,"2017-09","9",2017,"Saturday",8,FALSE,TRUE,"tabby","blue","","blue",TRUE,TRUE
"10680","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,3,"2017-06","6",2017,"Friday",13,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10681","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,3,"2017-05","5",2017,"Tuesday",17,FALSE,TRUE,"tabby","white","brown","white",TRUE,TRUE
"10682","domestic mediumhair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2017,7,"2017-09","9",2017,"Saturday",16,FALSE,TRUE,"tortie","other","","tortie",TRUE,TRUE
"10683","scottish fold","","Adoption","Female",TRUE,14,"(13.2, 15.4]",2002,11,"2017-07","7",2017,"Friday",12,TRUE,FALSE,"solid","black","white","black",FALSE,TRUE
"10684","domestic mediumhair","","Adoption","Male",TRUE,0.082191781,"(-0.022, 2.2]",2017,5,"2017-06","6",2017,"Friday",16,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10685","domestic shorthair","","Adoption","Female",TRUE,9,"(8.8, 11.0]",2007,3,"2016-05","5",2016,"Sunday",19,FALSE,TRUE,"tabby","white","brown","white",FALSE,TRUE
"10686","domestic shorthair","Foster","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2016,11,"2017-02","2",2017,"Saturday",12,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10687","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2015,7,"2015-09","9",2015,"Tuesday",8,FALSE,TRUE,"tabby","white","brown","white",TRUE,TRUE
"10688","domestic shorthair","","Adoption","Female",TRUE,2,"(-0.022, 2.2]",2015,7,"2017-07","7",2017,"Wednesday",15,FALSE,TRUE,"solid","black","white","black",FALSE,TRUE
"10689","domestic shorthair","","Adoption","Male",TRUE,5,"(4.4, 6.6]",2012,2,"2017-02","2",2017,"Monday",15,FALSE,TRUE,"solid","black","white","black",FALSE,TRUE
"10690","domestic shorthair","","Adoption","Male",TRUE,1,"(-0.022, 2.2]",2015,5,"2016-06","6",2016,"Tuesday",13,FALSE,TRUE,"tabby","other","white","cream ",FALSE,TRUE
"10691","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2017,4,"2017-07","7",2017,"Wednesday",17,FALSE,TRUE,"tabby","brown","white","brown ",TRUE,TRUE
"10692","american shorthair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,8,"2017-10","10",2017,"Thursday",6,TRUE,FALSE,"solid","black","","black",TRUE,TRUE
"10693","domestic mediumhair","","Adoption","Female",TRUE,0.082191781,"(-0.022, 2.2]",2017,4,"2017-06","6",2017,"Saturday",16,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10694","domestic shorthair","","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2017,4,"2017-07","7",2017,"Monday",16,FALSE,TRUE,"tabby","brown","white","brown ",TRUE,TRUE
"10695","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,5,"2017-07","7",2017,"Monday",11,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10696","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,4,"2015-06","6",2015,"Saturday",18,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10697","domestic shorthair","","Adoption","Male",TRUE,2,"(-0.022, 2.2]",2013,12,"2016-01","1",2016,"Saturday",17,FALSE,TRUE,"tabby","orange","","orange",FALSE,TRUE
"10698","domestic longhair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,5,"2015-07","7",2015,"Saturday",20,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10699","domestic shorthair","","Adoption","Male",TRUE,0.410958904,"(-0.022, 2.2]",2016,10,"2017-03","3",2017,"Saturday",18,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10700","siamese","","Adoption","Male",TRUE,0.657534247,"(-0.022, 2.2]",2016,6,"2017-02","2",2017,"Thursday",17,TRUE,FALSE,"point","other","","seal",FALSE,TRUE
"10701","domestic shorthair","","Adoption","Male",TRUE,0.246575342,"(-0.022, 2.2]",2016,9,"2016-12","12",2016,"Friday",17,FALSE,TRUE,"tabby","orange","white","orange ",TRUE,TRUE
"10702","domestic shorthair","Foster","Adoption","Male",TRUE,0.082191781,"(-0.022, 2.2]",2016,5,"2016-07","7",2016,"Saturday",19,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10703","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2015,5,"2015-08","8",2015,"Saturday",13,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10704","domestic mediumhair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,7,"2016-10","10",2016,"Wednesday",19,FALSE,TRUE,"tabby","brown","white","brown ",TRUE,TRUE
"10705","domestic shorthair","","Adoption","Female",TRUE,1,"(-0.022, 2.2]",2016,2,"2017-06","6",2017,"Monday",19,FALSE,TRUE,"torbie","other","","torbie",FALSE,TRUE
"10706","domestic shorthair","","Adoption","Female",TRUE,14,"(13.2, 15.4]",2002,7,"2016-12","12",2016,"Sunday",15,FALSE,TRUE,"tabby","brown","white","brown ",FALSE,TRUE
"10707","domestic longhair","","Adoption","Female",TRUE,10,"(8.8, 11.0]",2005,5,"2015-06","6",2015,"Saturday",16,FALSE,TRUE,"tabby","orange","","orange",FALSE,TRUE
